C:\Users\Win10_Game_OS\Desktop\Bot>python run_v30_test.py

Loading data (auto mode)...

[OK] Loaded 20000 5m candles from local file.
[OK] Loaded 7000 15m candles from local file.
[OK] Loaded 2000 1h candles from local file.
[OK] Loaded 1000 4h candles from local file.

Loaded: 5m=20000, 15m=7000, 1h=2000, 4h=1000


Running V31 Institutional Backtest...

Total 5m candles: 20000
Starting Institutional loop...

OPEN SHORT | Price: 122.13 | SL: 122.47 | Risk: 0.88%
OPEN SHORT | Price: 90.79 | SL: 92.46 | Risk: 0.88%
CLOSE | PnL: -146.03 | Equity: 16448.1 | DD: 5.31%
OPEN SHORT | Price: 91.86 | SL: 92.75 | Risk: 0.68%
CLOSE | PnL: 114.45 | Equity: 16562.55 | DD: 5.31%
OPEN SHORT | Price: 91.2 | SL: 91.62 | Risk: 0.88%
CLOSE | PnL: 49.67 | Equity: 16612.22 | DD: 5.31%
OPEN SHORT | Price: 88.82 | SL: 90.82 | Risk: 0.97%
CLOSE | PnL: -182.52 | Equity: 16429.71 | DD: 5.31%
OPEN SHORT | Price: 84.54 | SL: 87.56 | Risk: 0.88%
CLOSE | PnL: 119.47 | Equity: 16549.18 | DD: 5.31%
OPEN SHORT | Price: 82.38 | SL: 83.25 | Risk: 0.88%
CLOSE | PnL: 518.2 | Equity: 17067.38 | DD: 5.31%
OPEN SHORT | Price: 78.09 | SL: 82.1 | Risk: 0.88%
CLOSE | PnL: 349.33 | Equity: 17416.71 | DD: 5.31%
OPEN SHORT | Price: 79.03 | SL: 80.12 | Risk: 0.75%
CLOSE | PnL: -130.28 | Equity: 17286.44 | DD: 5.31%
OPEN SHORT | Price: 86.3 | SL: 86.72 | Risk: 0.97%
CLOSE | PnL: 66.48 | Equity: 17352.92 | DD: 5.31%
OPEN SHORT | Price: 86.29 | SL: 86.67 | Risk: 0.96%
CLOSE | PnL: -166.59 | Equity: 17186.33 | DD: 5.31%
Progress: 75.0% | Trades: 193 | Equity: 17186.33
OPEN SHORT | Price: 87.92 | SL: 88.55 | Risk: 0.88%
CLOSE | PnL: 670.2 | Equity: 17856.53 | DD: 5.31%
OPEN SHORT | Price: 85.54 | SL: 86.61 | Risk: 0.97%
CLOSE | PnL: -240.7 | Equity: 17615.83 | DD: 5.31%
OPEN SHORT | Price: 88.38 | SL: 88.78 | Risk: 0.68%
CLOSE | PnL: 181.34 | Equity: 17797.17 | DD: 5.31%
OPEN SHORT | Price: 87.71 | SL: 88.58 | Risk: 0.75%
CLOSE | PnL: 132.66 | Equity: 17929.83 | DD: 5.31%
OPEN SHORT | Price: 87.97 | SL: 88.23 | Risk: 0.75%
CLOSE | PnL: -134.12 | Equity: 17795.71 | DD: 5.31%
OPEN SHORT | Price: 87.89 | SL: 88.55 | Risk: 0.75%
CLOSE | PnL: 209.75 | Equity: 18005.47 | DD: 5.31%
OPEN SHORT | Price: 86.45 | SL: 89.09 | Risk: 0.75%
CLOSE | PnL: -46.93 | Equity: 17958.53 | DD: 5.31%
OPEN SHORT | Price: 85.86 | SL: 87.92 | Risk: 0.75%
CLOSE | PnL: -114.12 | Equity: 17844.42 | DD: 5.31%
OPEN SHORT | Price: 87.5 | SL: 87.89 | Risk: 0.75%
CLOSE | PnL: 132.45 | Equity: 17976.87 | DD: 5.31%
OPEN SHORT | Price: 86.91 | SL: 87.18 | Risk: 0.75%
CLOSE | PnL: -134.47 | Equity: 17842.4 | DD: 5.31%
OPEN SHORT | Price: 87.81 | SL: 88.17 | Risk: 0.68%
CLOSE | PnL: -121.33 | Equity: 17721.07 | DD: 5.31%
OPEN SHORT | Price: 85.89 | SL: 86.54 | Risk: 0.68%
CLOSE | PnL: 250.31 | Equity: 17971.38 | DD: 5.31%
OPEN SHORT | Price: 82.92 | SL: 83.48 | Risk: 0.96%
CLOSE | PnL: 256.27 | Equity: 18227.65 | DD: 5.31%
OPEN SHORT | Price: 82.27 | SL: 82.9 | Risk: 0.97%
CLOSE | PnL: -170.84 | Equity: 18056.81 | DD: 5.31%
OPEN SHORT | Price: 83.29 | SL: 83.81 | Risk: 0.75%
CLOSE | PnL: 323.42 | Equity: 18380.23 | DD: 5.31%
OPEN SHORT | Price: 82.29 | SL: 82.98 | Risk: 0.97%
CLOSE | PnL: 347.32 | Equity: 18727.56 | DD: 5.31%
OPEN SHORT | Price: 81.33 | SL: 81.99 | Risk: 0.97%
CLOSE | PnL: 132.77 | Equity: 18860.33 | DD: 5.31%
OPEN SHORT | Price: 80.99 | SL: 81.22 | Risk: 0.97%
CLOSE | PnL: -182.57 | Equity: 18677.76 | DD: 5.31%
OPEN SHORT | Price: 80.95 | SL: 81.31 | Risk: 0.97%
CLOSE | PnL: 151.92 | Equity: 18829.68 | DD: 5.31%
OPEN SHORT | Price: 80.85 | SL: 81.01 | Risk: 0.97%
CLOSE | PnL: -182.27 | Equity: 18647.41 | DD: 5.31%
OPEN SHORT | Price: 79.91 | SL: 83.18 | Risk: 0.75%
CLOSE | PnL: 7.25 | Equity: 18654.66 | DD: 5.31%
OPEN SHORT | Price: 79.57 | SL: 80.01 | Risk: 0.75%
CLOSE | PnL: 71.99 | Equity: 18726.65 | DD: 5.31%
OPEN SHORT | Price: 80.03 | SL: 80.24 | Risk: 0.75%
CLOSE | PnL: -140.08 | Equity: 18586.58 | DD: 5.31%
OPEN SHORT | Price: 80.56 | SL: 80.91 | Risk: 0.97%
CLOSE | PnL: 704.8 | Equity: 19291.38 | DD: 5.31%
OPEN SHORT | Price: 79.26 | SL: 79.67 | Risk: 0.97%
CLOSE | PnL: -186.74 | Equity: 19104.64 | DD: 5.31%
Progress: 82.5% | Trades: 218 | Equity: 19104.64
OPEN SHORT | Price: 80.13 | SL: 81.5 | Risk: 0.75%
CLOSE | PnL: 144.04 | Equity: 19248.68 | DD: 5.31%
OPEN SHORT | Price: 78.98 | SL: 80.31 | Risk: 0.97%
CLOSE | PnL: 184.33 | Equity: 19433.0 | DD: 5.31%
OPEN SHORT | Price: 77.76 | SL: 78.45 | Risk: 1.06%
CLOSE | PnL: 219.18 | Equity: 19652.18 | DD: 5.31%
OPEN SHORT | Price: 77.13 | SL: 77.37 | Risk: 0.97%
CLOSE | PnL: -190.23 | Equity: 19461.95 | DD: 5.31%
OPEN SHORT | Price: 78.19 | SL: 78.69 | Risk: 0.97%
CLOSE | PnL: -188.39 | Equity: 19273.56 | DD: 5.31%
OPEN SHORT | Price: 78.42 | SL: 78.65 | Risk: 0.97%
CLOSE | PnL: -186.57 | Equity: 19086.99 | DD: 5.31%
OPEN SHORT | Price: 86.45 | SL: 86.76 | Risk: 0.88%
CLOSE | PnL: -167.97 | Equity: 18919.02 | DD: 5.31%
OPEN SHORT | Price: 86.74 | SL: 87.12 | Risk: 0.88%
CLOSE | PnL: -166.49 | Equity: 18752.54 | DD: 5.31%
OPEN SHORT | Price: 86.14 | SL: 86.97 | Risk: 0.68%
CLOSE | PnL: -127.52 | Equity: 18625.02 | DD: 5.31%
OPEN SHORT | Price: 88.03 | SL: 88.19 | Risk: 0.88%
CLOSE | PnL: 15.66 | Equity: 18640.68 | DD: 5.31%
OPEN SHORT | Price: 88.08 | SL: 88.23 | Risk: 0.88%
CLOSE | PnL: 141.34 | Equity: 18782.02 | DD: 5.31%
OPEN SHORT | Price: 88.22 | SL: 88.37 | Risk: 0.68%
CLOSE | PnL: 493.48 | Equity: 19275.5 | DD: 5.31%
OPEN SHORT | Price: 88.09 | SL: 88.3 | Risk: 0.68%
CLOSE | PnL: -131.07 | Equity: 19144.42 | DD: 5.31%
OPEN SHORT | Price: 88.23 | SL: 88.39 | Risk: 0.68%
CLOSE | PnL: -130.18 | Equity: 19014.24 | DD: 5.31%
OPEN SHORT | Price: 88.39 | SL: 88.68 | Risk: 0.68%
CLOSE | PnL: 179.42 | Equity: 19193.66 | DD: 5.31%
OPEN SHORT | Price: 87.99 | SL: 88.23 | Risk: 0.68%
CLOSE | PnL: 109.66 | Equity: 19303.32 | DD: 5.31%
OPEN SHORT | Price: 90.63 | SL: 90.98 | Risk: 0.97%
CLOSE | PnL: -186.86 | Equity: 19116.47 | DD: 5.31%
OPEN LONG | Price: 89.49 | SL: 89.32 | Risk: 0.68%
CLOSE | PnL: -129.99 | Equity: 18986.47 | DD: 5.31%
OPEN LONG | Price: 89.29 | SL: 89.04 | Risk: 0.68%
CLOSE | PnL: 71.33 | Equity: 19057.81 | DD: 5.31%
OPEN LONG | Price: 87.43 | SL: 87.17 | Risk: 0.68%
CLOSE | PnL: -129.59 | Equity: 18928.21 | DD: 5.31%
OPEN LONG | Price: 87.05 | SL: 86.71 | Risk: 0.68%
CLOSE | PnL: 111.34 | Equity: 19039.55 | DD: 5.31%
OPEN LONG | Price: 86.42 | SL: 85.03 | Risk: 0.68%
CLOSE | PnL: -70.79 | Equity: 18968.76 | DD: 5.31%
OPEN SHORT | Price: 86.14 | SL: 86.33 | Risk: 0.68%
CLOSE | PnL: -128.99 | Equity: 18839.77 | DD: 5.31%
OPEN SHORT | Price: 86.65 | SL: 86.89 | Risk: 0.68%
CLOSE | PnL: 1255.94 | Equity: 20095.71 | DD: 5.31%
Progress: 90.0% | Trades: 242 | Equity: 20095.71
OPEN SHORT | Price: 83.57 | SL: 85.42 | Risk: 0.68%
CLOSE | PnL: -136.65 | Equity: 19959.06 | DD: 5.31%
OPEN SHORT | Price: 81.41 | SL: 82.23 | Risk: 0.88%
CLOSE | PnL: 55.69 | Equity: 20014.75 | DD: 5.31%
OPEN SHORT | Price: 81.07 | SL: 81.62 | Risk: 0.88%
CLOSE | PnL: 193.11 | Equity: 20207.87 | DD: 5.31%
OPEN SHORT | Price: 80.43 | SL: 81.21 | Risk: 0.88%
CLOSE | PnL: 2.28 | Equity: 20210.15 | DD: 5.31%
OPEN SHORT | Price: 83.42 | SL: 84.75 | Risk: 0.75%
CLOSE | PnL: 57.97 | Equity: 20268.12 | DD: 5.31%
OPEN SHORT | Price: 84.09 | SL: 84.74 | Risk: 0.68%
CLOSE | PnL: -80.57 | Equity: 20187.54 | DD: 5.31%
OPEN SHORT | Price: 86.07 | SL: 86.65 | Risk: 0.68%
CLOSE | PnL: 150.76 | Equity: 20338.3 | DD: 5.31%
OPEN LONG | Price: 85.23 | SL: 84.65 | Risk: 0.68%
CLOSE | PnL: -40.54 | Equity: 20297.76 | DD: 5.31%
Progress: 97.5% | Trades: 250 | Equity: 20297.76
OPEN SHORT | Price: 78.35 | SL: 78.82 | Risk: 0.88%
CLOSE | PnL: 296.16 | Equity: 20593.93 | DD: 5.31%
OPEN SHORT | Price: 77.81 | SL: 78.24 | Risk: 0.96%
CLOSE | PnL: 250.51 | Equity: 20844.44 | DD: 5.31%
OPEN SHORT | Price: 77.3 | SL: 77.67 | Risk: 0.96%
CLOSE | PnL: -200.11 | Equity: 20644.33 | DD: 5.31%
OPEN SHORT | Price: 77.72 | SL: 77.86 | Risk: 0.88%
CLOSE | PnL: -181.67 | Equity: 20462.66 | DD: 5.31%
OPEN SHORT | Price: 77.86 | SL: 77.97 | Risk: 0.88%
CLOSE | PnL: 159.1 | Equity: 20621.76 | DD: 5.31%
OPEN SHORT | Price: 80.13 | SL: 80.33 | Risk: 0.97%
CLOSE | PnL: -199.62 | Equity: 20422.14 | DD: 5.31%
OPEN SHORT | Price: 80.72 | SL: 80.92 | Risk: 0.97%
CLOSE | PnL: 79.43 | Equity: 20501.56 | DD: 5.31%
OPEN SHORT | Price: 80.03 | SL: 80.94 | Risk: 0.75%
CLOSE | PnL: 161.33 | Equity: 20662.89 | DD: 5.31%
OPEN SHORT | Price: 79.11 | SL: 79.78 | Risk: 0.97%
CLOSE | PnL: 381.73 | Equity: 21044.62 | DD: 5.31%
OPEN SHORT | Price: 78.26 | SL: 78.78 | Risk: 0.97%
CLOSE | PnL: -203.71 | Equity: 20840.91 | DD: 5.31%
OPEN SHORT | Price: 78.99 | SL: 79.25 | Risk: 0.97%
CLOSE | PnL: 157.54 | Equity: 20998.45 | DD: 5.31%
OPEN SHORT | Price: 78.28 | SL: 79.2 | Risk: 0.97%
CLOSE | PnL: -22.09 | Equity: 20976.35 | DD: 5.31%
OPEN SHORT | Price: 76.49 | SL: 77.29 | Risk: 0.97%
CLOSE | PnL: -121.83 | Equity: 20854.52 | DD: 5.31%

Backtest Finished.


==============================
V31 INSTITUTIONAL RESULTS
==============================
trades: 263
winrate: 0.4981
expectancy: 41.27
profit_factor: 1.85
final_balance: 20854.52
return_pct: 108.55
max_drawdown_pct: 5.31

Full report saved to: C:\Users\Win10_Game_OS\Desktop\Bot\report_SOLUSDT_v31.json

C:\Users\Win10_Game_OS\Desktop\Bot>



